time, Quad.IMU.AX
4.679843,0.264378
4.684843,-0.296653
4.689843,1.308976
4.694842,-0.700948
4.699842,-0.655249
4.704842,-1.014798
4.709841,0.099378
4.714841,-0.778660
4.719841,0.656612
4.724840,-0.915761
4.729840,-0.676630
4.734839,0.213920
4.739839,0.374461
4.744839,-0.525087
4.749838,-0.240416
4.754838,0.394323
4.759838,0.163523
4.764837,-0.163674
4.769837,0.019879
4.774837,0.081044
4.779836,-0.258780
4.784836,-1.297449
4.789835,-0.292381
4.794835,0.012700
4.799835,0.514688
4.804834,0.309239
4.809834,-0.147567
4.814834,-0.213026
4.819833,0.251120
4.824833,0.858376
4.829833,-0.529776
4.834832,-0.632148
4.839832,0.155903
4.844831,0.301396
4.849831,0.269978
4.854831,-0.392970
4.859830,-0.434578
4.864830,0.151997
4.869830,-0.416459
4.874829,0.581557
4.879829,-0.461624
4.884829,0.510202
4.889828,0.047019
4.894828,0.576422
4.899827,-0.122088
4.904827,-0.052749
4.909827,-0.006711
4.914826,1.041870
4.919826,-0.112920
4.924826,-0.128956
4.929825,-0.275001
4.934825,0.807542
4.939825,-0.870848
4.944824,-0.306678
4.949824,0.004774
4.954823,-0.373204
4.959823,0.613011
4.964823,0.335605
4.969822,0.415854
4.974822,0.121744
4.979822,-0.184244
4.984821,-0.948688
4.989821,0.129387
4.994821,-0.378633
4.999820,-0.429681
5.004820,0.077707
5.009820,-0.434033
5.014819,-0.581260
5.019819,0.249247
5.024818,-0.452585
5.029818,-0.030262
5.034818,-0.455624
5.039817,0.740195
5.044817,0.384644
5.049817,0.706291
5.054816,0.108750
5.059816,-0.023248
5.064816,0.449668
5.069815,-0.325727
5.074815,0.310474
5.079814,-0.258381
5.084814,0.334056
5.089814,-0.601346
5.094813,-0.127737
5.099813,0.159393
5.104813,-0.134868
5.109812,-0.130931
5.114812,-0.225542
5.119812,-0.079844
5.124811,0.398570
5.129811,0.233622
5.134810,0.581414
5.139810,-0.241771
5.144810,-0.536521
5.149809,0.219644
5.154809,-0.900689
5.159809,0.851197
5.164808,0.609840
5.169808,0.140077
5.174808,0.442177
5.179807,-0.734645
5.184807,-0.293765
5.189806,0.653283
5.194806,0.127766
5.199806,0.726185
5.204805,0.180249
5.209805,0.093769
5.214805,-1.345566
5.219804,0.563713
5.224804,-0.629986
5.229804,0.220029
5.234803,-0.408605
5.239803,0.706645
5.244802,0.013922
5.249802,0.048099
5.254802,-0.305833
5.259801,0.090611
5.264801,0.197096
5.269801,-0.352046
5.274800,0.079395
5.279800,0.494323
5.284800,0.097674
5.289799,0.292729
5.294799,0.595248
5.299798,-0.135985
5.304798,-0.957341
5.309798,0.495310
5.314797,-0.036703
5.319797,-0.752669
5.324797,-0.218491
5.329796,0.228570
5.334796,0.359321
5.339796,-0.031282
5.344795,-0.430796
5.349795,0.284245
5.354795,-1.115684
5.359794,0.026426
5.364794,0.835751
5.369793,0.839135
5.374793,0.266378
5.379793,-0.246668
5.384792,0.637639
5.389792,0.689240
5.394792,-0.615433
5.399791,-0.123226
5.404791,-0.010382
5.409791,0.328574
5.414790,0.305803
5.419790,0.700125
5.424789,-0.452708
5.429789,0.360307
5.434789,-0.002759
5.439788,-0.448586
5.444788,-0.705954
5.449788,-0.028647
